R	a	b	z	x	u	grp
0.15	0.5	1	0.483778	0.308673	0.000001	0.207548
0.2	0.5	1	0.489906	0.249994	0.000001	0.260099
0.25	0.5	1	0.486155	0.20378	0.000001	0.310065
0.3	0.5	1	0.474957	0.166763	0.000001	0.358279
0.35	0.5	1	0.458391	0.136405	0.000001	0.405203
0.4	0.5	1	0.437711	0.111111	0.000001	0.451178
0.45	0.5	1	0.413706	0.08982	0.000001	0.496473
0.5	0.5	1	0.386892	0.071796	0.000001	0.541311
0.55	0.5	1	0.35761	0.056508	0.000001	0.585881
0.6	0.5	1	0.326086	0.043561	0.000001	0.630352
0.65	0.5	1	0.292463	0.032658	0.000001	0.674878
0.7	0.5	1	0.256824	0.023573	0.000001	0.719602
