R	a	b	z	x	u	grp
0.35	0.75	0.5	0.574921	0.061235	0	0.363844
0.4	0.75	0.5	0.544628	0.043433	0	0.411939
0.45	0.75	0.5	0.509734	0.030134	0	0.460131
0.5	0.75	0.5	0.471213	0.020317	0	0.508471
0.55	0.75	0.5	0.429809	0.013205	0	0.556986
0.6	0.75	0.5	0.386122	0.008189	0	0.605689
0.65	0.75	0.5	0.340645	0.004778	0	0.654576
0.7	0.75	0.5	0.293795	0.002572	0	0.703633
0	0.8	0.5	0.108196	0.879413	0	0.012391
0.05	0.8	0.5	0.518537	0.415674	0	0.065789
0.1	0.8	0.5	0.6162	0.267416	0	0.116384
0.15	0.8	0.5	0.640446	0.192854	0	0.1667
0.2	0.8	0.5	0.657723	0.127351	0	0.214926
0.25	0.8	0.5	0.650186	0.086638	0	0.263176
0.3	0.8	0.5	0.629101	0.059277	0	0.311622
0.35	0.8	0.5	0.599915	0.039958	0	0.360128
0.4	0.8	0.5	0.564936	0.02633	0	0.408734
0.45	0.8	0.5	0.525685	0.016842	0	0.457474
0.5	0.8	0.5	0.483266	0.010373	0	0.50636
0.55	0.8	0.5	0.438517	0.006093	0	0.55539
0.6	0.8	0.5	0.392081	0.00337	0	0.604549
0.65	0.8	0.5	0.344458	0.001725	0	0.653817
0.7	0.8	0.5	0.296033	0.000797	0	0.70317
0	0.85	0.5	0.163079	0.825286	0	0.011635
0.05	0.85	0.5	0.572434	0.36414	0	0.063426
0.1	0.85	0.5	0.671911	0.214862	0	0.113227
0.15	0.85	0.5	0.684325	0.15193	0	0.163745
0.2	0.85	0.5	0.701754	0.086665	0	0.211581
0.25	0.85	0.5	0.687067	0.052938	0	0.259995
0.3	0.85	0.5	0.658549	0.032613	0	0.308838
0.35	0.85	0.5	0.622603	0.019598	0	0.357799
0.4	0.85	0.5	0.58174	0.011384	0	0.406876
0.45	0.85	0.5	0.5376	0.006335	0	0.456065
0.5	0.85	0.5	0.491307	0.003344	0	0.505349
0.55	0.85	0.5	0.443639	0.001653	0	0.554707
