R	a	b	z	x	u	grp
0.3	0.65	0.5	0.578569	0.094436	0.006219	0.320776
0.35	0.65	0.5	0.54725	0.078446	0.004161	0.370143
0.4	0.65	0.5	0.514677	0.063738	0.002673	0.418911
0.45	0.65	0.5	0.480611	0.050542	0.001642	0.467205
0.5	0.65	0.5	0.444878	0.038993	0.000958	0.515171
0.55	0.65	0.5	0.407376	0.029142	0.000526	0.562955
0.6	0.65	0.5	0.368255	0.020787	0.000291	0.610667
0.65	0.65	0.5	0.32834	0.012003	0.014537	0.64512
0.7	0.65	0.5	0.28475	0.007851	0.003248	0.704151
0	0.7	0.5	0.763983	0.196744	0.028608	0.010664
0.05	0.7	0.5	0.736634	0.178158	0.022396	0.062812
0.1	0.7	0.5	0.709522	0.158802	0.017016	0.114659
0.15	0.7	0.5	0.682168	0.139213	0.012534	0.166084
0.2	0.7	0.5	0.654715	0.11951	0.008882	0.216893
0.25	0.7	0.5	0.626256	0.100562	0.006068	0.267114
0.3	0.7	0.5	0.596513	0.082765	0.003982	0.31674
0.35	0.7	0.5	0.565144	0.066516	0.002501	0.365838
0.4	0.7	0.5	0.531881	0.052102	0.001499	0.414519
0.45	0.7	0.5	0.49656	0.039674	0.000852	0.462913
0.5	0.7	0.5	0.459123	0.029266	0.000456	0.511155
0.55	0.7	0.5	0.420087	0.020235	0.000507	0.559171
0.6	0.7	0.5	0.379348	0.011437	0.006446	0.602769
0.65	0.7	0.5	0.335368	0.00768	0.004874	0.652078
0.7	0.7	0.5	0.290059	0.004811	0.002875	0.702255
0	0.75	0.5	0.773696	0.19283	0.022955	0.010518
0.05	0.75	0.5	0.749353	0.171372	0.017307	0.061969
0.1	0.75	0.5	0.724967	0.149314	0.012569	0.113149
0.15	0.75	0.5	0.699681	0.12754	0.008797	0.163981
0.2	0.75	0.5	0.674012	0.105924	0.005846	0.214218
0.25	0.75	0.5	0.646398	0.08589	0.003718	0.263993
0.3	0.75	0.5	0.616637	0.067793	0.002251	0.313319
0.35	0.75	0.5	0.584432	0.051991	0.001293	0.362284
0.4	0.75	0.5	0.549629	0.038662	0.000701	0.411009
0.45	0.75	0.5	0.512234	0.027796	0.000357	0.459614
0.5	0.75	0.5	0.474444	0.015192	0.00706	0.503304
0.55	0.75	0.5	0.431454	0.010332	0.006272	0.551942
0.6	0.75	0.5	0.386778	0.00681	0.002895	0.603517
0.65	0.75	0.5	0.340848	0.004255	0.001603	0.653295
0.7	0.75	0.5	0.293851	0.002413	0.001087	0.702649
0	0.8	0.5	0.787304	0.184597	0.017711	0.010388
0.05	0.8	0.5	0.766394	0.159731	0.012653	0.061222
0.1	0.8	0.5	0.744967	0.13461	0.008599	0.111824
0.15	0.8	0.5	0.721507	0.110723	0.005586	0.162185
0.2	0.8	0.5	0.69734	0.087361	0.003359	0.21194
0.25	0.8	0.5	0.669769	0.066925	0.001913	0.261393
0.3	0.8	0.5	0.638886	0.049533	0.001023	0.310559
0.35	0.8	0.5	0.604606	0.035349	0.000511	0.359535
0.4	0.8	0.5	0.567124	0.024204	0.000359	0.408313
0.45	0.8	0.5	0.528567	0.012357	0.005201	0.453874
0.5	0.8	0.5	0.484381	0.00841	0.004502	0.502706
0.55	0.8	0.5	0.438953	0.005134	0.000001	0.555911
0.6	0.8	0.5	0.392179	0.003133	0.001474	0.603214
0.65	0.8	0.5	0.344495	0.001676	0.000001	0.653828
0.7	0.8	0.5	0.296037	0.000793	0.000001	0.703169
0	0.85	0.5	0.806447	0.170491	0.012786	0.010276
0.05	0.85	0.5	0.789621	0.141411	0.008385	0.060583
