R	a	b	z	x	u	grp
0.3	0.65	0.65	0.553741	0.118035	0.002361	0.325862
0.35	0.65	0.65	0.530103	0.094416	0.001223	0.374257
0.4	0.65	0.65	0.50338	0.074018	0.000602	0.422
0.45	0.65	0.65	0.473517	0.056833	0.00028	0.469369
0.5	0.65	0.65	0.442291	0.040505	0.004381	0.512823
0.55	0.65	0.65	0.406001	0.029737	0.000747	0.563515
0.6	0.65	0.65	0.367247	0.021346	0.000167	0.61124
0.65	0.65	0.65	0.326484	0.014665	0.000019	0.658832
0.7	0.65	0.65	0.283932	0.009419	0.000001	0.706648
0	0.7	0.7	0.641495	0.317873	0.029452	0.01118
0.05	0.7	0.7	0.628067	0.286821	0.019342	0.065769
0.1	0.7	0.7	0.61856	0.250403	0.011493	0.119544
0.15	0.7	0.7	0.610538	0.211287	0.006176	0.171999
0.2	0.7	0.7	0.602462	0.171759	0.002981	0.222798
0.25	0.7	0.7	0.590515	0.135912	0.001333	0.27224
0.3	0.7	0.7	0.573284	0.105386	0.000563	0.320767
0.35	0.7	0.7	0.550735	0.080286	0.000225	0.368754
0.4	0.7	0.7	0.524726	0.05831	0.000869	0.416095
0.45	0.7	0.7	0.492502	0.043064	0.001982	0.462452
0.5	0.7	0.7	0.456876	0.031103	0.001228	0.510793
0.55	0.7	0.7	0.418444	0.021732	0.000521	0.559303
0.6	0.7	0.7	0.377503	0.014661	0.000001	0.607835
0.65	0.7	0.7	0.33453	0.009323	0.000001	0.656146
0.7	0.7	0.7	0.289751	0.005547	0.000001	0.704701
0	0.75	0.75	0.602557	0.364063	0.022278	0.011102
0.05	0.75	0.75	0.60393	0.318871	0.011982	0.065216
0.1	0.75	0.75	0.612982	0.26368	0.005229	0.118109
0.15	0.75	0.75	0.620413	0.208264	0.001942	0.169381
0.2	0.75	0.75	0.623882	0.156624	0.00061	0.218885
0.25	0.75	0.75	0.616617	0.115726	0.00018	0.267477
0.3	0.75	0.75	0.600468	0.083534	0.000453	0.315545
0.35	0.75	0.75	0.575473	0.060536	0.000001	0.363991
0.4	0.75	0.75	0.544838	0.04315	0.000374	0.411638
0.45	0.75	0.75	0.509739	0.03013	0.000001	0.46013
0.5	0.75	0.75	0.471215	0.020314	0.000001	0.50847
0.55	0.75	0.75	0.429811	0.013203	0.000001	0.556985
0.6	0.75	0.75	0.386123	0.008188	0.000001	0.605688
0.65	0.75	0.75	0.340646	0.004778	0.000001	0.654576
0.7	0.75	0.75	0.293795	0.002571	0.000001	0.703632
0	0.8	0.8	0.554442	0.419059	0.015496	0.011003
0.05	0.8	0.8	0.583341	0.346798	0.005421	0.06444
0.1	0.8	0.8	0.625922	0.256958	0.001145	0.115974
0.15	0.8	0.8	0.647015	0.186526	0.000223	0.166236
0.2	0.8	0.8	0.65893	0.126054	0.00011	0.214906
0.25	0.8	0.8	0.650516	0.086249	0.000001	0.263234
0.3	0.8	0.8	0.629106	0.059272	0.000001	0.311621
0.35	0.8	0.8	0.599918	0.039954	0.000001	0.360127
0.4	0.8	0.8	0.564938	0.026328	0.000001	0.408733
0.45	0.8	0.8	0.525686	0.01684	0.000001	0.457473
0.5	0.8	0.8	0.483267	0.010373	0.000001	0.50636
0.55	0.8	0.8	0.438517	0.006092	0.000001	0.55539
0.6	0.8	0.8	0.392081	0.003369	0.000001	0.604549
0.65	0.8	0.8	0.344458	0.001725	0.000001	0.653816
0.7	0.8	0.8	0.296032	0.000797	0.000001	0.70317
0	0.85	0.85	0.492521	0.487198	0.009406	0.010874
0.05	0.85	0.85	0.585638	0.350206	0.000933	0.063223
0.1	0.85	0.85	0.672258	0.214491	0.000035	0.113216
0.15	0.85	0.85	0.689193	0.147357	0.000065	0.163385
0.2	0.85	0.85	0.702266	0.086227	0.000001	0.211506
0.25	0.85	0.85	0.687079	0.052928	0.000001	0.259992
0.3	0.85	0.85	0.65855	0.032611	0.000001	0.308838
0.35	0.85	0.85	0.622604	0.019597	0.000001	0.357798
0.4	0.85	0.85	0.58174	0.011383	0.000001	0.406876
0.45	0.85	0.85	0.5376	0.006335	0.000001	0.456064
0.5	0.85	0.85	0.491307	0.003344	0.000001	0.505348
0.55	0.85	0.85	0.443639	0.001653	0.000001	0.554707
0.6	0.85	0.85	0.395126	0.000753	0.000001	0.60412
0.65	0.85	0.85	0.34612	0.000309	0.000001	0.65357
0.7	0.85	0.85	0.296799	0.00005	0.000001	0.70315
0	0.9	0.9	0.408633	0.576297	0.004366	0.010704
0.05	0.9	0.9	0.653487	0.28502	0.000001	0.061493
0.1	0.9	0.9	0.74698	0.142204	0.000001	0.110814
0.15	0.9	0.9	0.742976	0.095308	0.000001	0.161715
0.2	0.9	0.9	0.750784	0.039995	0.000001	0.20922
0.25	0.9	0.9	0.721771	0.020078	0.000001	0.258151
0.3	0.9	0.9	0.682631	0.009958	0.000001	0.30741
0.35	0.9	0.9	0.638528	0.004719	0.000001	0.356752
0.4	0.9	0.9	0.59173	0.002113	0.000001	0.406156
0.45	0.9	0.9	0.543515	0.000884	0.000001	0.4556
0.5	0.9	0.9	0.494589	0.000341	0.000001	0.505069
0.55	0.9	0.9	0.445328	0.000119	0.000001	0.554552
0.6	0.9	0.9	0.395675	0.000001	0.000001	0.604323
0.65	0.9	0.9	0.346288	0.000417	0.000001	0.653294
0.7	0.9	0.9	0.296915	0.000133	0.000001	0.702951
0	0.95	0.95	0.400751	0.58879	0.000029	0.01043
0.05	0.95	0.95	0.789467	0.150464	0.000001	0.060068
0.1	0.95	0.95	0.844918	0.045727	0.000001	0.109353
0.15	0.95	0.95	0.811898	0.026925	0.000001	0.161176
0.2	0.95	0.95	0.787721	0.004151	0.000001	0.208126
0.25	0.95	0.95	0.74127	0.001138	0.000001	0.257591
0.3	0.95	0.95	0.692638	0.000286	0.000001	0.307075
0.35	0.95	0.95	0.643368	0.000065	0.000001	0.356567
0.4	0.95	0.95	0.593884	0.000001	0.000001	0.406114
0.45	0.95	0.95	0.54442	0.000001	0.000001	0.455578
0.5	0.95	0.95	0.494948	0.000001	0.000001	0.50505
0.55	0.95	0.95	0.445453	0.000001	0.000001	0.554545
0.6	0.95	0.95	0.395958	0.000001	0.000001	0.60404
0.65	0.95	0.95	0.346463	0.000001	0.000001	0.653535
0.7	0.95	0.95	0.296969	0.000001	0.000001	0.703029
0	1	1	0.676538	0.31336	0.000001	0.010101
0.05	1	1	0.940402	0.000001	0.000001	0.059596
0.1	1	1	0.890907	0.000001	0.000001	0.109091
0.15	1	1	0.841412	0.000001	0.000001	0.158586
0.2	1	1	0.791917	0.000001	0.000001	0.208081
0.25	1	1	0.742423	0.000001	0.000001	0.257575
0.3	1	1	0.692928	0.000001	0.000001	0.30707
0.35	1	1	0.643433	0.000001	0.000001	0.356565
0.4	1	1	0.593938	0.000001	0.000001	0.40606
0.45	1	1	0.544443	0.000001	0.000001	0.455555
0.5	1	1	0.494948	0.000001	0.000001	0.50505
0.55	1	1	0.445453	0.000001	0.000001	0.554545
0.6	1	1	0.395959	0.000001	0.000001	0.604039
0.65	1	1	0.346464	0.000001	0.000001	0.653534
0.7	1	1	0.296969	0.000001	0.000001	0.703029
