T	z	x1	u1	x2	u2	x3	u3	x4	u4	x5	u5	x6	u6	x7	u7	x8	u8	x9	u9	x10	u10
4955	0.624965	0.003273	0.905259	0.004478	0.616630	0.004537	0.717015	0.002399	0.906935	0.010393	0.506171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4960	0.623901	0.003624	0.902180	0.005526	0.616500	0.003806	0.713039	0.002484	0.903903	0.010272	0.504218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4965	0.624419	0.004107	0.902872	0.005363	0.615739	0.003961	0.709253	0.003001	0.899761	0.009451	0.509414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4970	0.624997	0.003675	0.910695	0.005513	0.610764	0.003684	0.706235	0.003739	0.895724	0.010442	0.515292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4975	0.625083	0.004548	0.913383	0.005291	0.604250	0.004548	0.696033	0.003710	0.894329	0.009609	0.527655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4980	0.626786	0.003930	0.914974	0.005383	0.613725	0.005047	0.699131	0.004517	0.893175	0.009308	0.536208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4985	0.630427	0.003410	0.909988	0.005976	0.619212	0.004157	0.704460	0.004481	0.889010	0.008463	0.549457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4990	0.627514	0.003064	0.910540	0.004989	0.620759	0.003770	0.709302	0.004854	0.890180	0.008224	0.562964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4995	0.632268	0.002872	0.914752	0.007345	0.624471	0.002759	0.718148	0.004967	0.897920	0.008202	0.565587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5000	0.635123	0.003432	0.916033	0.006464	0.617335	0.003364	0.719743	0.004035	0.898986	0.009086	0.568026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5005	0.637484	0.003689	0.915802	0.007048	0.617764	0.003405	0.709099	0.003522	0.903884	0.006968	0.583032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5010	0.637634	0.003701	0.919371	0.007151	0.610464	0.004178	0.716819	0.004603	0.908487	0.006349	0.577404	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5015	0.642397	0.004054	0.917403	0.006706	0.628395	0.005318	0.721654	0.004499	0.912695	0.007290	0.576797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5020	0.642813	0.003561	0.918774	0.006635	0.623742	0.004568	0.711681	0.003494	0.910002	0.007163	0.596171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5025	0.640786	0.003222	0.917611	0.006089	0.622024	0.004469	0.719682	0.003535	0.909277	0.006423	0.597114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5030	0.642003	0.003272	0.920727	0.007683	0.616968	0.004919	0.702747	0.002939	0.912304	0.006846	0.609568	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5035	0.641766	0.003439	0.912477	0.006074	0.619319	0.003788	0.706866	0.003036	0.909782	0.006946	0.611194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5040	0.639499	0.004136	0.904205	0.006507	0.619330	0.003760	0.708100	0.002681	0.910951	0.007350	0.615223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5045	0.640334	0.004654	0.900870	0.006567	0.616144	0.002996	0.713820	0.003177	0.905596	0.008719	0.617932	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5050	0.634962	0.004375	0.895625	0.006235	0.613185	0.004481	0.711100	0.005572	0.900431	0.008364	0.618233	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5055	0.629537	0.003763	0.901294	0.005849	0.620251	0.004195	0.717104	0.005501	0.900325	0.007833	0.626749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5060	0.631513	0.003482	0.904968	0.006295	0.633574	0.005660	0.709197	0.005478	0.905848	0.004927	0.643858	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5065	0.634823	0.003524	0.911667	0.007774	0.637009	0.005034	0.705862	0.003829	0.907511	0.004861	0.659961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5070	0.636454	0.002923	0.907697	0.008100	0.630405	0.003837	0.703369	0.003803	0.908015	0.004836	0.660065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5075	0.638521	0.003181	0.910648	0.007604	0.628803	0.004520	0.710056	0.003000	0.909227	0.004738	0.655940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5080	0.637388	0.002906	0.909835	0.006663	0.631939	0.005044	0.716687	0.003219	0.899932	0.004670	0.660159	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5085	0.639742	0.005082	0.911805	0.006373	0.635086	0.004861	0.718493	0.003437	0.902040	0.004525	0.654522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5090	0.640736	0.004286	0.909206	0.005446	0.627831	0.004762	0.710434	0.002713	0.907643	0.005538	0.653132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5095	0.641971	0.004168	0.911164	0.005440	0.633234	0.004839	0.719003	0.004357	0.909878	0.006556	0.656287	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5100	0.646840	0.003646	0.910515	0.006743	0.626470	0.005146	0.720828	0.004242	0.909223	0.005577	0.649655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5105	0.643888	0.002285	0.908829	0.006925	0.637246	0.005362	0.724484	0.003864	0.909285	0.005131	0.641846	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5110	0.642361	0.003119	0.907698	0.006530	0.643024	0.005545	0.733149	0.004474	0.909351	0.006412	0.636520	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5115	0.640044	0.003412	0.902526	0.006426	0.654113	0.004390	0.736680	0.003966	0.910300	0.007409	0.637517	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5120	0.643219	0.003409	0.900750	0.005589	0.655948	0.004370	0.739849	0.003542	0.905280	0.006994	0.636445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5125	0.641931	0.002480	0.902639	0.006311	0.652353	0.004617	0.749121	0.003999	0.909398	0.006575	0.635696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5130	0.641263	0.003274	0.905481	0.005750	0.656669	0.005469	0.754572	0.003293	0.907369	0.006555	0.635384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5135	0.642961	0.003182	0.903420	0.006970	0.660159	0.005581	0.755801	0.002863	0.902245	0.006180	0.633043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5140	0.639431	0.003451	0.912861	0.005827	0.648379	0.004667	0.751703	0.003335	0.899480	0.006539	0.630227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5145	0.639630	0.003521	0.913842	0.005180	0.648576	0.005377	0.749572	0.002850	0.895681	0.007297	0.627502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5150	0.637430	0.003517	0.910971	0.004896	0.651923	0.005822	0.751448	0.003175	0.891034	0.006627	0.630782	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
